
angle:110.38   ,   distance:3235
angle:110.66   ,   distance:3236
angle:110.92   ,   distance:3239
angle:111.2   ,   distance:3241
angle:111.48   ,   distance:3239
angle:111.77   ,   distance:3238
angle:112.05   ,   distance:3245
angle:112.33   ,   distance:3242
angle:112.61   ,   distance:3240
angle:112.89   ,   distance:3246
angle:113.17   ,   distance:3245
angle:113.45   ,   distance:3249
angle:113.73   ,   distance:3246
angle:114.02   ,   distance:3250
angle:114.3   ,   distance:3253
angle:114.58   ,   distance:3251
angle:114.86   ,   distance:3256
angle:115.14   ,   distance:3256
angle:115.42   ,   distance:3257
angle:115.7   ,   distance:3263
angle:115.98   ,   distance:3262
angle:116.25   ,   distance:3266
angle:116.56   ,   distance:3272
angle:116.83   ,   distance:3273
angle:117.11   ,   distance:3279
angle:117.39   ,   distance:3275
angle:117.67   ,   distance:3281
angle:117.95   ,   distance:3287
angle:118.23   ,   distance:3306
angle:118.45   ,   distance:0
angle:118.81   ,   distance:3185
angle:119.09   ,   distance:3190
angle:119.36   ,   distance:3190
angle:119.64   ,   distance:3196
angle:119.92   ,   distance:3149
angle:120.14   ,   distance:0
angle:120.42   ,   distance:0
angle:120.8   ,   distance:2949
angle:121   ,   distance:0
angle:121.38   ,   distance:2828
angle:121.66   ,   distance:2767
angle:121.84   ,   distance:0
angle:122.23   ,   distance:2647
angle:122.52   ,   distance:2614
angle:122.81   ,   distance:2576
angle:123.09   ,   distance:2532
angle:123.39   ,   distance:2496
angle:123.67   ,   distance:2451
angle:123.97   ,   distance:2413
angle:124.25   ,   distance:2380
angle:124.38   ,   distance:0
angle:124.88   ,   distance:2129
angle:125.16   ,   distance:2099
angle:125.42   ,   distance:2120
angle:125.52   ,   distance:0
angle:126.02   ,   distance:2014
angle:126.31   ,   distance:1989
angle:126.59   ,   distance:1962
angle:126.89   ,   distance:1931
angle:127.17   ,   distance:1908
angle:127.47   ,   distance:1882
angle:127.75   ,   distance:1855
angle:128.06   ,   distance:1835
angle:128.33   ,   distance:1814
angle:128.33   ,   distance:0
angle:128.61   ,   distance:0
angle:129.2   ,   distance:1744
angle:129.48   ,   distance:1730
angle:129.78   ,   distance:1710
angle:130.08   ,   distance:1686
angle:130.36   ,   distance:1673
angle:130.66   ,   distance:1654
angle:130.92   ,   distance:1638
angle:131.16   ,   distance:0
angle:131.22   ,   distance:1622
angle:131.8   ,   distance:1586
angle:132.08   ,   distance:1570
angle:132.38   ,   distance:1554
angle:132.66   ,   distance:1538
angle:132.95   ,   distance:1521
angle:133.23   ,   distance:1508
angle:133.53   ,   distance:1493
angle:133.8   ,   distance:1477
angle:134.09   ,   distance:1465
angle:134.38   ,   distance:1452
angle:134.67   ,   distance:1437
angle:134.95   ,   distance:1423
angle:135.25   ,   distance:1410
angle:135.53   ,   distance:1398
angle:135.83   ,   distance:1387
angle:136.11   ,   distance:1375
angle:136.41   ,   distance:1364
angle:136.67   ,   distance:1353
angle:136.97   ,   distance:1342
angle:137.25   ,   distance:1329
angle:137.55   ,   distance:1317
angle:137.83   ,   distance:1309
angle:138.13   ,   distance:1298
angle:138.41   ,   distance:1288
angle:138.7   ,   distance:1277
angle:138.98   ,   distance:1268
angle:139.28   ,   distance:1259
angle:139.56   ,   distance:1248
angle:139.84   ,   distance:1240
angle:140.14   ,   distance:1231
angle:140.42   ,   distance:1221
angle:140.72   ,   distance:1213
angle:141   ,   distance:1205
angle:141.3   ,   distance:1196
angle:141.58   ,   distance:1189
angle:141.88   ,   distance:1177
angle:142.16   ,   distance:1172
angle:142.45   ,   distance:1164
angle:142.73   ,   distance:1154
angle:143.03   ,   distance:1147
angle:143.31   ,   distance:1140
angle:143.61   ,   distance:1132
angle:143.89   ,   distance:1125
angle:144.17   ,   distance:1120
angle:144.47   ,   distance:1113
angle:144.75   ,   distance:1103
angle:145.05   ,   distance:1099
angle:145.34   ,   distance:1091
angle:145.63   ,   distance:1086
angle:145.92   ,   distance:1080
angle:146.2   ,   distance:1078
angle:146.48   ,   distance:1080
angle:146.75   ,   distance:1087
angle:147.03   ,   distance:1091
angle:147.31   ,   distance:1094
angle:147.59   ,   distance:1100
angle:147.86   ,   distance:1105
angle:148.14   ,   distance:1110
angle:148.42   ,   distance:1114
angle:148.69   ,   distance:1122
angle:148.97   ,   distance:1124
angle:149.25   ,   distance:1130
angle:149.52   ,   distance:1134
angle:149.8   ,   distance:1141
angle:150.08   ,   distance:1145
angle:150.34   ,   distance:1159
angle:150.64   ,   distance:1159
angle:150.89   ,   distance:1148
angle:151.16   ,   distance:1142
angle:151.44   ,   distance:1134
angle:151.73   ,   distance:1130
angle:152.02   ,   distance:1123
angle:152.3   ,   distance:1120
angle:152.58   ,   distance:1118
angle:152.88   ,   distance:1112
angle:153.16   ,   distance:1108
angle:153.44   ,   distance:1101
angle:153.73   ,   distance:1097
angle:154.02   ,   distance:1093
angle:154.3   ,   distance:1088
angle:154.59   ,   distance:1084
angle:154.88   ,   distance:1078
angle:155.16   ,   distance:1077
angle:155.41   ,   distance:1104
angle:155.72   ,   distance:1080
angle:156   ,   distance:1075
angle:156.3   ,   distance:1068
angle:156.58   ,   distance:1064
angle:156.86   ,   distance:1065
angle:157.14   ,   distance:1057
angle:157.44   ,   distance:1054
angle:157.72   ,   distance:1051
angle:158   ,   distance:1044
angle:158.3   ,   distance:1042
angle:158.58   ,   distance:1042
angle:158.86   ,   distance:1035
angle:159.14   ,   distance:1030
angle:159.44   ,   distance:1028
angle:159.72   ,   distance:1019
angle:160   ,   distance:1017
angle:160.3   ,   distance:1013
angle:160.58   ,   distance:1011
angle:160.86   ,   distance:1009
angle:161.16   ,   distance:999
angle:161.44   ,   distance:996
angle:161.72   ,   distance:995
angle:161.98   ,   distance:1006
angle:162.23   ,   distance:996
angle:162.53   ,   distance:986
angle:162.81   ,   distance:985
angle:163.09   ,   distance:983
angle:163.39   ,   distance:977
angle:163.67   ,   distance:975
angle:163.95   ,   distance:971
angle:164.23   ,   distance:967
angle:164.52   ,   distance:966
angle:164.81   ,   distance:959
angle:165.09   ,   distance:960
angle:165.38   ,   distance:956
angle:165.67   ,   distance:952
angle:165.97   ,   distance:954
angle:166.25   ,   distance:949
angle:166.53   ,   distance:947
angle:166.83   ,   distance:942
angle:167.09   ,   distance:944
angle:167.38   ,   distance:948
angle:167.67   ,   distance:937
angle:167.95   ,   distance:934
angle:168.25   ,   distance:929
angle:168.53   ,   distance:926
angle:168.81   ,   distance:925
angle:169.13   ,   distance:908
angle:169.41   ,   distance:910
angle:169.7   ,   distance:909
angle:169.98   ,   distance:907
angle:170.27   ,   distance:905
angle:170.55   ,   distance:903
angle:170.83   ,   distance:901
angle:171.13   ,   distance:899
angle:171.41   ,   distance:896
angle:171.69   ,   distance:896
angle:171.97   ,   distance:893
angle:172.25   ,   distance:890
angle:172.55   ,   distance:889
angle:172.83   ,   distance:887
angle:173.11   ,   distance:886
angle:173.41   ,   distance:881
angle:173.64   ,   distance:880
angle:173.95   ,   distance:870
angle:174.23   ,   distance:866
angle:174.52   ,   distance:868
angle:174.8   ,   distance:869
angle:175.06   ,   distance:873
angle:175.34   ,   distance:871
angle:175.64   ,   distance:868
angle:175.94   ,   distance:867
angle:176.22   ,   distance:866
angle:176.5   ,   distance:865
angle:176.78   ,   distance:863
angle:177.08   ,   distance:860
angle:177.36   ,   distance:860
angle:177.64   ,   distance:860
angle:177.89   ,   distance:876
angle:178.2   ,   distance:868
angle:178.48   ,   distance:868
angle:178.77   ,   distance:864
angle:179.05   ,   distance:861
angle:179.33   ,   distance:863
angle:179.61   ,   distance:862
angle:179.91   ,   distance:859
angle:180.19   ,   distance:857
angle:180.48   ,   distance:855
angle:180.77   ,   distance:857
angle:181.05   ,   distance:860
angle:181.33   ,   distance:858
angle:181.59   ,   distance:861
angle:181.89   ,   distance:858
angle:182.17   ,   distance:853
angle:182.45   ,   distance:852
angle:182.77   ,   distance:849
angle:183.05   ,   distance:847
angle:183.33   ,   distance:846
angle:183.61   ,   distance:845
angle:183.89   ,   distance:843
angle:184.17   ,   distance:844
angle:184.45   ,   distance:843
angle:184.75   ,   distance:841
angle:185.06   ,   distance:842
angle:185.33   ,   distance:840
angle:185.61   ,   distance:840
angle:185.89   ,   distance:840
angle:186.17   ,   distance:838
angle:186.45   ,   distance:836
angle:186.73   ,   distance:839
angle:187   ,   distance:847
angle:187.28   ,   distance:846
angle:187.58   ,   distance:836
angle:187.84   ,   distance:834
angle:188.13   ,   distance:834
angle:188.41   ,   distance:834
angle:188.7   ,   distance:833
angle:188.98   ,   distance:831
angle:189.27   ,   distance:832
angle:189.55   ,   distance:833
angle:189.83   ,   distance:831
angle:190.11   ,   distance:830
angle:190.39   ,   distance:831
angle:190.64   ,   distance:834
angle:190.92   ,   distance:835
angle:191.2   ,   distance:835
angle:191.48   ,   distance:837
angle:191.77   ,   distance:835
angle:192.06   ,   distance:831
angle:192.34   ,   distance:828
angle:192.63   ,   distance:828
angle:192.92   ,   distance:824
angle:193.19   ,   distance:828
angle:193.45   ,   distance:827
angle:193.73   ,   distance:826
angle:194.02   ,   distance:827
angle:194.3   ,   distance:825
angle:194.58   ,   distance:827
angle:194.86   ,   distance:826
angle:195.14   ,   distance:826
angle:195.42   ,   distance:825
angle:195.7   ,   distance:827
angle:195.98   ,   distance:826
angle:196.27   ,   distance:826
angle:196.55   ,   distance:828
angle:196.83   ,   distance:826
angle:197.11   ,   distance:827
angle:197.39   ,   distance:825
angle:197.69   ,   distance:821
angle:197.98   ,   distance:816
angle:198.25   ,   distance:817
angle:198.53   ,   distance:817
angle:198.81   ,   distance:817
angle:199.09   ,   distance:819
angle:199.38   ,   distance:818
angle:199.66   ,   distance:819
angle:199.94   ,   distance:818
angle:200.22   ,   distance:819
angle:200.5   ,   distance:819
angle:200.78   ,   distance:819
angle:201.06   ,   distance:820
angle:201.34   ,   distance:820
angle:201.63   ,   distance:820
angle:201.91   ,   distance:821
angle:202.19   ,   distance:821
angle:202.47   ,   distance:817
angle:202.75   ,   distance:818
angle:203.03   ,   distance:819
angle:203.31   ,   distance:819
angle:203.59   ,   distance:820
angle:203.88   ,   distance:820
angle:204.16   ,   distance:820
angle:204.44   ,   distance:821
angle:204.72   ,   distance:822
angle:205   ,   distance:822
angle:205.28   ,   distance:823
angle:205.55   ,   distance:825
angle:205.83   ,   distance:825
angle:206.11   ,   distance:825
angle:206.39   ,   distance:826
angle:206.67   ,   distance:829
angle:206.95   ,   distance:827
angle:207.22   ,   distance:837
angle:207.53   ,   distance:838
angle:207.81   ,   distance:840
angle:208.09   ,   distance:839
angle:208.38   ,   distance:842
angle:208.66   ,   distance:840
angle:208.94   ,   distance:842
angle:209.2   ,   distance:844
angle:209.48   ,   distance:845
angle:209.77   ,   distance:846
angle:210.05   ,   distance:846
angle:210.33   ,   distance:847
angle:210.61   ,   distance:848
angle:210.89   ,   distance:849
angle:211.17   ,   distance:850
angle:211.44   ,   distance:852
angle:211.73   ,   distance:851
angle:212   ,   distance:855
angle:212.28   ,   distance:855
angle:212.56   ,   distance:857
angle:212.84   ,   distance:858
angle:213.14   ,   distance:860
angle:213.42   ,   distance:859
angle:213.69   ,   distance:862
angle:213.97   ,   distance:863
angle:214.25   ,   distance:865
angle:214.53   ,   distance:867
angle:214.81   ,   distance:868
angle:215.09   ,   distance:868
angle:215.38   ,   distance:868
angle:215.64   ,   distance:875
angle:215.91   ,   distance:880
angle:216.19   ,   distance:880
angle:216.48   ,   distance:876
angle:216.75   ,   distance:880
angle:217.05   ,   distance:879
angle:217.31   ,   distance:881
angle:217.59   ,   distance:882
angle:217.88   ,   distance:884
angle:218.16   ,   distance:886
angle:218.45   ,   distance:887
angle:218.73   ,   distance:891
angle:219   ,   distance:891
angle:219.28   ,   distance:894
angle:219.56   ,   distance:894
angle:219.84   ,   distance:899
angle:220.13   ,   distance:899
angle:220.39   ,   distance:900
angle:220.67   ,   distance:902
angle:220.95   ,   distance:906
angle:221.23   ,   distance:905
angle:221.5   ,   distance:909
angle:221.78   ,   distance:910
angle:222.05   ,   distance:914
angle:222.33   ,   distance:915
angle:222.61   ,   distance:916
angle:222.89   ,   distance:920
angle:223.16   ,   distance:922
angle:223.44   ,   distance:927
angle:223.72   ,   distance:931
angle:224   ,   distance:931
angle:224.25   ,   distance:934
angle:224.53   ,   distance:934
angle:224.81   ,   distance:933
angle:225.09   ,   distance:939
angle:225.39   ,   distance:930
angle:225.66   ,   distance:933
angle:225.94   ,   distance:936
angle:226.22   ,   distance:938
angle:226.48   ,   distance:943
angle:226.77   ,   distance:944
angle:227.03   ,   distance:946
angle:227.31   ,   distance:950
angle:227.59   ,   distance:953
angle:227.88   ,   distance:954
angle:228.14   ,   distance:957
angle:228.42   ,   distance:960
angle:228.7   ,   distance:963
angle:228.98   ,   distance:965
angle:229.25   ,   distance:969
angle:229.53   ,   distance:971
angle:229.81   ,   distance:975
angle:230.08   ,   distance:978
angle:230.27   ,   distance:0
angle:230.34   ,   distance:1002
angle:231.31   ,   distance:749
angle:231.61   ,   distance:745
angle:231.89   ,   distance:745
angle:232.17   ,   distance:743
angle:232.47   ,   distance:746
angle:232.75   ,   distance:744
angle:233.02   ,   distance:747
angle:233.31   ,   distance:742
angle:233.58   ,   distance:751
angle:233.86   ,   distance:753
angle:234.13   ,   distance:758
angle:234.22   ,   distance:0
angle:234.41   ,   distance:759
angle:234.5   ,   distance:0
angle:234.69   ,   distance:767
angle:235.66   ,   distance:711
angle:235.94   ,   distance:707
angle:236.19   ,   distance:0
angle:236.22   ,   distance:707
angle:236.55   ,   distance:694
angle:236.83   ,   distance:692
angle:238.66   ,   distance:407
angle:238.97   ,   distance:402
angle:239.3   ,   distance:397
angle:239.59   ,   distance:394
angle:239.89   ,   distance:392
angle:240.2   ,   distance:389
angle:240.5   ,   distance:387
angle:240.81   ,   distance:386
angle:241.09   ,   distance:385
angle:241.41   ,   distance:381
angle:241.69   ,   distance:381
angle:241.98   ,   distance:380
angle:242.27   ,   distance:380
angle:242.55   ,   distance:379
angle:242.84   ,   distance:378
angle:243.17   ,   distance:376
angle:243.47   ,   distance:375
angle:243.75   ,   distance:375
angle:244.03   ,   distance:375
angle:244.31   ,   distance:375
angle:244.59   ,   distance:375
angle:244.88   ,   distance:375
angle:245.16   ,   distance:376
angle:245.44   ,   distance:376
angle:245.72   ,   distance:376
angle:245.98   ,   distance:377
angle:246.27   ,   distance:377
angle:246.55   ,   distance:378
angle:246.83   ,   distance:379
angle:247.16   ,   distance:375
angle:247.44   ,   distance:375
angle:247.69   ,   distance:377
angle:247.95   ,   distance:379
angle:248.23   ,   distance:380
angle:248.52   ,   distance:380
angle:248.8   ,   distance:381
angle:249.08   ,   distance:381
angle:249.36   ,   distance:382
angle:249.63   ,   distance:383
angle:249.91   ,   distance:384
angle:250.17   ,   distance:385
angle:250.47   ,   distance:386
angle:250.73   ,   distance:387
angle:251.02   ,   distance:387
angle:251.3   ,   distance:388
angle:251.55   ,   distance:390
angle:251.83   ,   distance:391
angle:252.09   ,   distance:392
angle:252.39   ,   distance:393
angle:252.66   ,   distance:394
angle:252.92   ,   distance:396
angle:253.2   ,   distance:397
angle:253.47   ,   distance:399
angle:253.73   ,   distance:401
angle:254.02   ,   distance:403
angle:254.28   ,   distance:406
angle:254.56   ,   distance:407
angle:254.83   ,   distance:410
angle:255.09   ,   distance:412
angle:255.36   ,   distance:414
angle:255.61   ,   distance:417
angle:255.88   ,   distance:420
angle:256.16   ,   distance:420
